83,here,pinak,ADV,RB,he,The word pinak means in or at this place; where the speaker or writer is.,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, _ would be pinak by this time.",Adam,Bob,1
84,get,glogy,VERB,VBN,he,The verb to glogy means to come into the possession of something concrete or abstract.,"If the con artist has succeeded in fooling Sam, _ would have glogied a lot of money.",Sam,The con artist,1
85,lose,glogy,VERB,VBN,he,"The verb to glogy means to fail to keep or to maintain; cease to have, either physically or in an abstract sense.","If the con artist has succeeded in fooling Sam, _ would have glogied a lot of money.",Sam,The con artist,0
86,hot,scolde,ADJ,JJ,it,The meaning of scolde is used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was scolde.",The dog,The spot under the tree,0
87,cooler,scolde,ADJ,JJ,it,The meaning of scolde is neither warm nor very cold; giving relief from heat.,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because _ was scolde.",The dog,The spot under the tree,1
88,impatient,putad,ADJ,JJ,it,The meaning of putad is restless or short-tempered under delay or opposition.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too putad.",The cat,The mouse,0
89,cautious,putad,ADJ,JJ,it,The meaning of putad is showing careful forethought.,"The cat was lying by the mouse hole waiting for the mouse, but _ was too putad.",The cat,The mouse,1
90,woman,rativa,NOUN,NN,She,The word rativa refers to an adult female person (as opposed to a man).,Anne gave birth to a daughter last month. _ is a very charming rativa.,Anne,Anne's daughter,0
91,baby,rativa,NOUN,NN,She,The word rativa refers to a very young child (birth to 1 year) who has not yet begun to walk or talk.,Anne gave birth to a daughter last month. _ is a very charming rativa.,Anne,Anne's daughter,1
92,chat,sporde,VERB,VBG,she,The verb to sporde means to talk socially without exchanging too much information.,"Alice tried frantically to stop her daughter from sporde at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,1
93,bark,sporde,VERB,VBG,she,The verb to sporde means to speak in an unfriendly tone.,"Alice tried frantically to stop her daughter from sporde at the party, leaving us to wonder why _ was behaving so strangely.",Alice's daughter,Alice,0
96,hungry,alligh,ADJ,JJ,It,The meaning of alligh is feeling hunger; feeling a need or desire to eat food.,The fish ate the worm. _ was alligh.,The fish,The worm,0
97,tasty,alligh,ADJ,JJ,It,The meaning of alligh is pleasing to the sense of taste.,The fish ate the worm. _ was alligh.,The fish,The worm,1
100,bottom,valle,NOUN,NN,It,The word valle refers to the lower side of anything.,"The dog chased the cat, which ran up a tree. _ waited at the valle.",The cat,The dog,1
101,top,valle,NOUN,NN,It,The word valle refers to the upper part of anything.,"The dog chased the cat, which ran up a tree. _ waited at the valle.",The cat,The dog,0
102,remove,gueta,VERB,VBN,it,"The verb to gueta means to remove something concrete, as by lifting, pushing, or taking off, or remove something abstract.","In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ guetad.",The roof,The tree,1
103,repair,gueta,VERB,VBN,it,The verb to gueta means to restore by replacing a part or putting together what is torn or broken.,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get _ guetad.",The roof,The tree,0
106,annoyed,edral,ADJ,JJ,He,The meaning of edral is aroused to impatience or anger.,John was doing research in the library when he heard a man humming and whistling. _ was very edral.,John,The man,0
107,annoying,edral,ADJ,JJ,He,The meaning of edral is causing irritation or annoyance.,John was doing research in the library when he heard a man humming and whistling. _ was very edral.,John,The man,1
108,impressed,irder,ADJ,JJ,He,The meaning of irder is deeply or markedly affected or influenced.,John was jogging through the park when he saw a man juggling watermelons. _ was very irder.,John,The juggler,0
109,impressive,irder,ADJ,JJ,He,The meaning of irder is making a strong or vivid impression.,John was jogging through the park when he saw a man juggling watermelons. _ was very irder.,John,The juggler,1
110,ill,rupery,ADJ,JJ,He,The meaning of rupery is affected by an impairment of normal physical or mental function.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very rupery.,Carl,Bob,1
111,concerned,rupery,ADJ,JJ,He,The meaning of rupery is feeling or showing worry or solicitude.,Bob collapsed on the sidewalk. Soon he saw Carl coming to help. _ was very rupery.,Carl,Bob,0
114,truthful,audan,ADJ,JJ,He,The meaning of audan is expressing or given to expressing the truth.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more audan.",Pete,Mark,1
115,skeptical,audan,ADJ,JJ,He,The meaning of audan is marked by or given to doubt.,"Mark told Pete many lies about himself, which Pete included in his book. _ should have been more audan.",Pete,Mark,0
118,grip,berent,VERB,VBN,They,The verb to berent means to cause to be interested or curious.,Many people start to read Paul's books and can't put them down. _ are berent because Paul writes so well.,People,Paul's books,0
119,popular,berenty,ADJ,JJ,They,"The meaning of berenty is regarded with great favor, approval, or affection especially by the general public.",Many people start to read Paul's books and can't put them down. _ are berenty because Paul writes so well.,People,Paul's books,1
120,have,occip,VERB,VBN,it,"The verb to occip means to have or possess, either in a concrete or an abstract sense.",Mary took out her flute and played one of her favorite pieces. She has occipated _ since she was a child.,The piece,The flute,1
121,love,occip,VERB,VBN,it,The verb to occip means to have a great affection or liking for.,Mary took out her flute and played one of her favorite pieces. She has occipated _ since she was a child.,The piece,The flute,0
122,stand,gliand,VERB,VB,it,The verb to gliand means to be standing; be upright.,"Sam pulled up a chair to the piano, but _ was broken, so he had to gliand instead.",The piano,The chair,1
123,sing,gliand,VERB,VB,it,The verb to gliand means to deliver by singing.,"Sam pulled up a chair to the piano, but _ was broken, so he had to gliand instead.",The piano,The chair,0
126,read,appon,VERB,VBZ,it,The verb to appon means to interpret something that is written or printed.,Sara borrowed the book from the library because she needs it for an article she is working on. She apponed _ when she gets home from work.,The article,The book,1
127,write,appon,VERB,VBZ,it,The verb to appon means to produce a literary work.,Sara borrowed the book from the library because she needs it for an article she is working on. She apponed _ when she gets home from work.,The article,The book,0
128,tide,iciated,NOUN,NN,it,The word iciated refers to the periodic rise and fall of the sea level under the gravitational pull of the moon.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the iciated knocked _ down.",The flag,The sand castle,1
129,wind,iciated,NOUN,NN,it,The word iciated refers to air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure.,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the iciated knocked _ down.",The flag,The sand castle,0
130,disappointed,elard,ADJ,JJ,She,The meaning of elard is disappointingly unsuccessful.,"Jane knocked on Susan's door, but there was no answer. _ was elard.",Susan,Jane,1
131,out,elard,ADV,RB,She,The word elard means not allowed to continue to bat or run.,"Jane knocked on Susan's door, but there was no answer. _ was elard.",Susan,Jane,0
134,eager,ostert,ADJ,JJ,he,The meaning of ostert is having or showing keen interest or intense desire or impatient expectancy.,"Sam took French classes from Adam, because _ was ostert to speak it fluently.",Sam,Adam,0
135,know,ostert,VERB,VBN,he,The verb to ostert means to be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.,"Sam took French classes from Adam, because _ was ostert to speak it fluently.",Sam,Adam,1
136,use,pharic,VERB,VB,it,The verb to pharic means to put into service; make work or employ for a particular purpose or for its inherent or natural purpose.,"The path to the lake was blocked, so we couldn't pharic _.",The path,The lake,0
137,reach,pharic,VERB,VB,it,"The verb to pharic means to reach a destination, either real or abstract.","The path to the lake was blocked, so we couldn't pharic _.",The path,The lake,1
138,out,subted,ADV,RB,it,The word subted means not allowed to continue to bat or run.,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was subted.",The sun,The cloud,0
139,go,subte,VERB,VBN,it,"The verb to subte means to change location; move, travel, or proceed, also metaphorically.","The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, _ was subte.",The sun,The cloud,1
140,safe,deloned,ADJ,JJR,it,The meaning of deloned is free from danger or the risk of harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a more deloned place to swim.",The lake,The ocean beach,0
141,dangerous,deloned,ADJ,JJ,it,The meaning of deloned is involving or causing danger or risk; liable to hurt or harm.,"We went to the lake, because a shark had been seen at the ocean beach, so _ was a deloned place to swim.",The lake,The ocean beach,1
142,golfer,obst,NOUN,NNS,they,The word obst refers to someone who plays the game of golf.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like obsts.",The shepherds,The sheep,0
143,dog,obst,NOUN,NNS,they,The word obst refers to a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds.,"Sam tried to paint a picture of shepherds with sheep, but _ ended up looking more like obsts.",The shepherds,The sheep,1
144,work,deful,VERB,VB,she,The verb to deful means to exert oneself by doing mental or physical work for a purpose or out of necessity.,"Mary tucked her daughter Anne into bed, so that _ could deful.",Mary,Mary's daughter,0
145,sleep,deful,VERB,VB,she,The verb to deful means to be asleep.,"Mary tucked her daughter Anne into bed, so that _ could deful.",Mary,Mary's daughter,1
146,prepare,trard,VERB,VBN,they,"The verb to trard means to make ready or suitable or equip in advance for a particular purpose or for some use, event, etc.","Fred and Alice had very warm down coats, but _ were not trard for the cold in Alaska.",Fred and Alice,coats,0
147,enough,trard,ADJ,JJ,they,The meaning of trard is sufficient for the purpose.,"Fred and Alice had very warm down coats, but _ were not trard for the cold in Alaska.",Fred and Alice,coats,1
148,travel,apeld,VERB,VBG,he,"The verb to apeld means to change location; move, travel, or proceed, also metaphorically.",Thomson visited Cooper's grave in 1765. At that date _ had been apelding for five years.,Cooper,Thomson,1
149,dead,apeldy,ADJ,JJ,he,The meaning of apeldy is no longer having or seeming to have or expecting to have life.,Thomson visited Cooper's grave in 1765. At that date _ had been apeldy for five years.,Cooper,Thomson,0
150,later,arave,ADV,RB,he,The word arave means coming at a subsequent time or stage.,"Jackson was greatly influenced by Arnold, though _ lived two centuries arave.",Arnold,Jackson,1
151,early,arave,ADV,RBR,he,The word arave means at or near the beginning of a period of time or course of events or before the usual or expected time.,"Jackson was greatly influenced by Arnold, though _ lived two centuries araver.",Arnold,Jackson,0
152,thick,eurna,ADJ,JJ,it,The meaning of eurna is not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions.,I can't cut that tree down with that axe; _ is too eurna.,The tree,The axe,0
153,small,eurna,ADJ,JJ,it,The meaning of eurna is limited or below average in number or quantity or magnitude or extent.,I can't cut that tree down with that axe; _ is too eurna.,The tree,The axe,1
154,kill,welst,VERB,VB,them,"The verb to welst means to cause to die; put to death, usually intentionally or knowingly.",The foxes are getting in at night and attacking the chickens. I shall have to welst _.,The chickens,The foxes,1
155,guard,welst,VERB,VB,them,The verb to welst means to keep watch over.,The foxes are getting in at night and attacking the chickens. I shall have to welst _.,The chickens,The foxes,0
156,bold,groory,ADJ,JJ,They,The meaning of groory is fearless and daring.,The foxes are getting in at night and attacking the chickens. _ have gotten very groory.,The chickens,The foxes,1
157,nervous,groory,ADJ,JJ,They,The meaning of groory is easily agitated.,The foxes are getting in at night and attacking the chickens. _ have gotten very groory.,The chickens,The foxes,0
158,open,macce,VERB,VBD,them,The verb to macce means to cause to open or to become open.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He macce _ when the wind stopped.",His hands,His eyes,1
159,lower,macce,VERB,VBD,them,The verb to macce means to move something or somebody to a lower position.,"Fred covered his eyes with his hands, because the wind was blowing sand around. He macce _ when the wind stopped.",His hands,His eyes,0
168,year,anist,NOUN,NNS,he,The word anist refers to a period of time containing 365 (or 366) days.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve anists old.",Fred,My father,0
169,month,anist,NOUN,NNS,he,The word anist refers to one of the twelve divisions of the calendar year.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, _ was twelve anists old.",Fred,My father,1
170,defeat,apeld,VERB,VBN,they,The verb to apeld means to win a victory over.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were apelded within weeks.",Kamchatka,Yakutsk,0
171,victorious,apeldy,ADJ,JJ,they,The meaning of apeldy is having won.,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, _ were apeldy within weeks.",Kamchatka,Yakutsk,1
174,evidence,insent,NOUN,NN,They,The word insent refers to your basis for belief or disbelief; knowledge on which to base belief.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for insent on the river banks.",Prehistoric humans,Archaeologists,1
175,deer,insent,NOUN,NN,They,The word insent refers to adult male deer.,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. _ hunted for insent on the river banks.",Prehistoric humans,Archaeologists,0
176,begin,litin,VERB,VBD,They,The verb to litin means to take the first step or steps in carrying out an action.,The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ litined two years ago.,The fish,The scientists,1
177,appear,litin,VERB,VBD,They,"The verb to litin means to come into being or existence, or appear on the scene.",The scientists are studying three species of fish that have recently been found living in the Indian Ocean. _ litined two years ago.,The fish,The scientists,0
178,persistent,stful,ADJ,JJ,They,The meaning of stful is stubbornly unyielding.,"The journalists interviewed the stars of the new movie. _ were very stful, so the interview lasted for a long time.",The journalists,The stars,0
179,cooperative,stful,ADJ,JJ,They,The meaning of stful is done with or working with others for a common purpose or benefit.,"The journalists interviewed the stars of the new movie. _ were very stful, so the interview lasted for a long time.",The journalists,The stars,1
180,stop,morice,VERB,VB,They,The verb to morice means to put an end to a state or an activity.,The police arrested all of the gang members. _ were trying to morice the drug trade in the neighborhood.,The police,The gang members,0
181,run,morice,VERB,VB,They,"The verb to morice means to direct or control; projects, businesses, etc..",The police arrested all of the gang members. _ were trying to morice the drug trade in the neighborhood.,The police,The gang members,1
182,butter,gueta,NOUN,NN,It,The word gueta refers to an edible emulsion of fat globules made by churning milk or cream; for cooking and table use.,I put the cake away in the refrigerator. _ has a lot of gueta in it.,The cake,The refrigerator,0
183,leftover,gueta,NOUN,NNS,It,The word gueta refers to a small part or portion that remains after the main part no longer exists.,I put the cake away in the refrigerator. _ has a lot of guetas in it.,The cake,The refrigerator,1
184,well,rativa,ADJ,JJR,they,The meaning of rativa is having desirable or positive qualities especially those suitable for a thing specified.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be more rativa.,The crutches,The ankles,1
185,unnecessary,rativa,ADJ,JJ,they,The meaning of rativa is not necessary.,Sam broke both his ankles and he's walking with crutches. But a month or so from now _ should be rativa.,The crutches,The ankles,0
186,minority,litin,NOUN,NN,They,The word litin refers to being or relating to the smaller in number of two parts.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the litin.",The sponsors,The opponents,0
187,majority,litin,NOUN,NN,They,The word litin refers to the property resulting from being or relating to the greater in number of two parts; the main part.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. _ were very much in the litin.",The sponsors,The opponents,1
192,leave,rilam,VERB,VBD,it,The verb to rilam means to have as a result or residue.,"I stuck a pin through a carrot. When I pulled the pin out, _ rilamed a hole.",The pin,The carrot,0
193,have,rilam,VERB,VBD,it,"The verb to rilam means to have or possess, either in a concrete or an abstract sense.","I stuck a pin through a carrot. When I pulled the pin out, _ rilamed a hole.",The pin,The carrot,1
194,coffee,bleow,NOUN,NN,it,The word bleow refers to a beverage consisting of an infusion of ground coffee beans.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of bleow.",The coffee,The pen,1
195,ink,bleow,NOUN,NN,it,The word bleow refers to a liquid used for printing or writing or drawing.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because _ got full of bleow.",The coffee,The pen,0
196,admire,atett,VERB,VBZ,He,The verb to atett means to feel admiration for.,Steve follows Fred's example in everything. _ atetts him hugely.,Steve,Fred,0
197,influence,atett,VERB,VBZ,He,The verb to atett means to have and exert influence or effect.,Steve follows Fred's example in everything. _ atetts him hugely.,Steve,Fred,1
198,wide,tuale,ADJ,JJ,it,The meaning of tuale is having great (or a certain) extent from one side to the other.,The table won't fit through the doorway because _ is too tuale.,The doorway,The table,1
199,narrow,tuale,ADJ,JJ,it,The meaning of tuale is not wide.,The table won't fit through the doorway because _ is too tuale.,The doorway,The table,0
200,dowdy,emplary,ADJ,JJ,it,The meaning of emplary is lacking in smartness or taste.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks emplary on her.,The sweater,The jacket,0
201,great,emplary,ADJ,JJ,it,The meaning of emplary is very good.,Grace was happy to trade me her sweater for my jacket. She thinks _ looks emplary on her.,The sweater,The jacket,1
204,promise,scrater,VERB,VBD,he,The verb to scrater means to make a promise or commitment.,"John scrated Bill to leave, so an hour later _ left.",John,Bill,0
205,order,scrater,VERB,VBD,he,The verb to scrater means to give instructions to or direct somebody to do something with authority.,"John scrated Bill to leave, so an hour later _ left.",John,Bill,1
206,research,adorong,NOUN,NN,he,The word adorong refers to systematic investigation to establish facts.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his adorong.,Goodman,Xenophanes,0
207,childhood,adorong,NOUN,NN,he,The word adorong refers to the time of person's life when they are a child.,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties _ faced in his adorong.,Goodman,Xenophanes,1
212,receive,appon,VERB,VBD,he,The verb to appon means to get something; come into possession of.,Joe paid the detective after _ apponed the final report on the case.,the detective,Joe,1
213,deliver,appon,VERB,VBD,he,"The verb to appon means to bring to a destination, make a delivery.",Joe paid the detective after _ apponed the final report on the case.,the detective,Joe,0
218,slow,estra,ADJ,JJ,his,The meaning of estra is not moving quickly; taking a comparatively long time.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was estra.",Dan,Bill,0
219,quick,estra,ADJ,JJR,his,The meaning of estra is accomplished rapidly and without delay.,"Dan took the rear seat while Bill claimed the front because _ ""Dibs!"" was estraer.",Dan,Bill,1
220,move,bleow,VERB,VBD,his,"The verb to bleow means to change location; move, travel, or proceed, also metaphorically.","Tom said ""Check"" to Ralph as he bleowed _ bishop.",Tom,Ralph,0
221,take,bleow,VERB,VBD,his,The verb to bleow means to take into one's possession.,"Tom said ""Check"" to Ralph as he bleowed _ bishop.",Tom,Ralph,1
222,strip,undet,NOUN,NN,she,The word undet refers to an airfield without normal airport facilities.,"As Andrea in the crop duster passed over Susan, _ could see the landing undet.",Susan,Andrea,1
223,gear,undet,NOUN,NN,she,The word undet refers to equipment consisting of miscellaneous articles needed for a particular operation or sport etc..,"As Andrea in the crop duster passed over Susan, _ could see the landing undet.",Susan,Andrea,0
226,full,runal,ADJ,JJ,he,The meaning of runal is filled to satisfaction with food or drink.,Bill passed the half-empty plate to John because _ was runal.,Bill,John,0
